date,equity,cash,day_pnl_abs,day_pnl_pct,spy_close,spy_day_return,cum_return,cum_spy_return,positions_held,orders_placed,orders_rejected
2026-04-23,10000.0,10000.0,0.0,0.0,708.41,-0.3923,0.0,0.123,0,0,0
2026-04-24,10000.0,10000.0,0.0,0.0,713.97,0.7849,0.0,0.9088,0,0,0
2026-04-28,10020.92,7018.71,20.92,0.2092,715.16,0.1674,0.2092,0.9535,6,0,0
2026-04-29,10013.11,6022.06,-7.81,-0.0779,711.59,-0.0126,0.1311,0.4489,7,2,0
2026-04-30,9991.89,6886.0,-21.22,-0.2119,718.41,0.9584,-0.0811,1.4116,5,5,0
2026-05-01,9993.21,5613.95,11.54,0.1155,720.49,0.2895,-0.0679,1.7052,6,2,0
2026-05-04,9992.78,5614.33,-0.43,-0.0043,718.09,-0.3331,-0.0722,1.3664,6,0,0
2026-05-05,10044.36,5277.06,51.58,0.5162,723.71,0.7826,0.4436,2.1598,6,2,0
2026-05-06,10067.97,4394.13,23.61,0.2351,733.77,1.3901,0.6797,3.5798,5,5,0
2026-05-07,10032.35,3906.83,-35.62,-0.3538,731.53,-0.3053,0.3235,3.2636,5,1,0
2026-05-08,10049.17,3473.57,16.82,0.1677,737.54,0.8216,0.4917,4.112,6,1,0
